d	m	y	h	i	Praha 8-Karlín	Praha 2-Legerova (hot spot)	Praha 1-n. Republiky	Praha 2-Riegrovy sady	Praha 5-Smíchov	Praha 10-Vršovice	Praha 9-Vysočany	Praha 4-Braník	Praha 8-Kobylisy	Praha 4-Libuš	Praha 5-Stodůlky	Praha 6-Suchdol	Praha 6-Břevnov	Praha 10-Průmyslová	Beroun	Kladno-střed města	Kladno-Švermov	Mladá Boleslav	Ondřejov	Příbram	Rožďalovice-Ruská	Tobolka-Čertovy schody	České Budějovice	Churáňov	Hojná Voda	Kocelovice	Prachatice	Tábor	Kamenný Újezd	Plzeň-Slovany	Plzeň-Bory	Plzeň-střed	Plzeň-Lochotín	Plzeň-Skvrňany	Plzeň-Doubravka	Plzeň - mobil 20.03.2013 Plzeň - Litice	Přimda	Cheb	Přebuz	Sokolov	Chomutov	Děčín	Doksany	Krupka	Lom	Litoměřice	Měděnec	Most	Rudolice v Horách	Sněžník	Teplice 	Tušimice	Ústí n.L.-Všebořická (hot spot)	Ústí n.L.-Kočkov	Ústí n.L.-město	Česká Lípa	Frýdlant	Liberec Rochlice	Souš	Hradec Králové-Brněnská	Hradec Králové-observatoř	Krkonoše-Rýchory	Polom	Trutnov - Tkalcovská	Moravská Třebová - Piaristická.	Pardubice-Rosice	Pardubice Dukla	Svratouch	Havl.Brod-Smetan.nám.	Jihlava	Jihlava-Znojemská	Kostelní Myslová	Košetice	Třebíč	Ždár nad Sázavou	Brno - Dětská nemocnice	Brno-Arboretum	Brno-Lány	Brno-Svatoplukova	Brno-Výstaviště	Brno-Zvonařka	Brno-Masná	Brno-Líšeň	Brno-Úvoz (hot spot)	Brno-Tuřany	Hodonín	Kuchařovice	Mikulov-Sedlec	Sivice	Mokrá	Znojmo	Jeseník-lázně	Olomouc-Hejčín	Olomouc-Šmeralova	Přerov	Prostějov	Otrokovice-město	Štítná n.Vláří	Těšnovice	Uherské Hradiště	Valašské Meziříčí	Zlín	Bílý Kříž	Červená hora	Český Těšín	Frýdek-Místek	Havířov	Horní Lomná	Karviná-ZÚ	Karviná	Ostrava-Českobratrská (hot spot)	Odry	Ostrava-Fifejdy	Ostrava-Mariánské Hory	Ostrava-Poruba, DD	Ostrava-Poruba/ČHMÚ	Ostrava-Přívoz	Ostrava-Radvanice ZÚ	Ostrava Radvanice OZO	Orlová	Opava-Kateřinky	Ostrava-Zábřeh	Rýmařov	Studénka	Třinec-Kanada	Třinec-Kosmos	Věřňovice
9	11	2015	15	26				1.3						5.6		1.3					2.9				2.9		4.0							2.9		4.5		1.3	18.4	14.6			1.3	9.1			6.7	4.0	160.3	13.3	1.3			1.3	13.0	1.3		8.0	17.8		3.7	4.0								8.5	5.3			1.3			1.3					9.1							1.3			6.1	3.2			1.3			3.7				3.2			1.3	3.2		1.3			42.9		13.3		5.6	3.2	11.7		1.3	4.8		5.6			1.3	5.6	5.9			1.3
9	11	2015	17	26				1.3						5.9		1.3					3.5				1.3		4.5							1.3		6.9		1.3	9.6	13.6			1.3	11.7			5.1	3.5	54.3	7.5	1.3			1.3	13.6	1.3		4.8	1.3		3.7	2.9								6.1	3.5			2.9			1.3					5.1							1.3			5.6	2.9			1.3			2.7				1.3			1.3	1.3		1.3			59.4		7.2		5.6	3.2	11.2		1.3	4.3		5.6			1.3	5.6	3.5			5.3
9	11	2015	18	24				1.3						5.6		1.3									2.7		4.0							1.3		7.7		2.9	8.3	13.3			1.3	28.8			5.6	3.2	45.3	7.2	1.3			1.3	9.3	1.3		4.3	1.3		5.1	2.9								6.1	3.7			3.2			1.3					8.8							1.3			5.6	2.9			1.3			2.9				3.7			1.3	1.3		1.3			44.7		9.6		5.6	2.9	11.5		1.3	4.0		5.6			1.3	5.6	3.2			5.1
9	11	2015	19	25				1.3						5.1		1.3					4.3				3.7		4.3							1.3		12.8		2.9	8.8	14.1			1.3	34.9			6.4	2.9	61.2	5.9				1.3	10.4	1.3		5.3	1.3		5.6	1.3								6.1	3.5			3.2			1.3					9.9							1.3			5.6	2.9			1.3			2.9				3.5			2.7	1.3		1.3			41.0		9.9		5.6	2.9	11.5		1.3	3.7		5.6			1.3	5.6	3.2			8.3
9	11	2015	20	25				1.3						4.5		1.3					3.7				4.8		4.0							1.3		13.6		1.3	8.8	13.8			1.3	14.1			6.4	1.3	42.3	5.6				1.3	9.1	1.3		6.7	2.9		8.8	1.3								12.0	5.1			3.2			1.3					9.6							1.3			5.9	2.7			1.3			2.9				3.2			1.3	2.7		1.3			44.7		14.4		5.6		11.2		1.3	3.7		5.6			1.3	5.6	3.5
9	11	2015	21	49										4.8		1.3					3.7				4.3		3.5							1.3		9.1		2.9	10.9	14.1			1.3	6.4			5.3	3.7	64.7	5.3				1.3	10.7	1.3		6.1	1.3		5.3	1.3								7.7	7.5			2.9			1.3					9.9							1.3			5.9	2.7			1.3			2.9				3.2			2.7	2.7		1.3			47.1		15.4		5.6	1.3	11.5		1.3	3.7		5.6			1.3	5.6	4.3			9.3
9	11	2015	22	24				1.3						5.1		1.3					3.7				4.8		3.7							1.3		7.7		1.3	9.1	13.3			1.3	4.0			6.1	3.5	67.1	5.1	1.3			1.3	14.1	1.3		6.9	3.7		4.8	1.3								10.9	8.0			2.9			1.3					10.1							1.3			5.9	2.7			1.3			3.7				3.2			1.3	2.7		1.3			46.1		12.0		5.6	2.9	12.0		1.3	4.0		5.6			1.3	5.6	5.6			8.8
9	11	2015	23	24				1.3						4.5		1.3					3.2				4.3		4.0									14.9		1.3	8.3	13.6			1.3	4.0			4.8	3.2	58.3	5.1				1.3	11.7	1.3		5.6	2.9		9.3	1.3								9.9	3.7			1.3			1.3					9.6							1.3			6.1	1.3			1.3			3.5				2.9			2.7	2.9					40.5		16.2		5.6	3.7	13.6		1.3			5.6			1.3	5.6	5.3			9.6
10	11	2015	0	23				1.3						4.5		1.3					1.3				4.5		4.0							1.3		12.0		1.3	9.1	13.8			1.3	14.9			5.1	3.7	70.3	5.1					11.7	1.3		5.9	2.7		10.7	1.3								9.6	3.5			3.2			1.3					10.7							1.3			5.9	2.7						3.5				2.9			1.3	3.5		1.3			31.2		12.5		5.6	5.3	14.6		1.3	6.7		5.6			1.3	5.6	5.6			9.6
10	11	2015	1	34				1.3						4.5		1.3					3.2				3.7		4.0							1.3				1.3		13.6			1.3	58.3			4.5		47.1	4.8	1.3			1.3	14.1	1.3		8.0	4.3		4.5	1.3								9.9	4.8			3.5			1.3					10.1							1.3				2.7			1.3			3.2				2.9				1.3		1.3			19.7		10.1		5.6	4.0	13.6		1.3	5.3		5.6			1.3	5.6	5.1			9.1
