d	m	y	h	i	Praha 8-Karlín	Praha 2-Legerova (hot spot)	Praha 1-n. Republiky	Praha 2-Riegrovy sady	Praha 5-Smíchov	Praha 10-Vršovice	Praha 9-Vysočany	Praha 4-Braník	Praha 8-Kobylisy	Praha 4-Libuš	Praha 5-Stodůlky	Praha 6-Suchdol	Praha 6-Břevnov	Praha 10-Průmyslová	Beroun	Kladno-střed města	Kladno-Švermov	Mladá Boleslav	Ondřejov	Příbram	Rožďalovice-Ruská	Tobolka-Čertovy schody	České Budějovice	Churáňov	Hojná Voda	Kocelovice	Prachatice	Tábor	Kamenný Újezd	Plzeň-Slovany	Plzeň-Bory	Plzeň-střed	Plzeň-Lochotín	Plzeň-Skvrňany	Plzeň-Doubravka	Plzeň - mobil 20.03.2013 Plzeň - Litice	Přimda	Cheb	Přebuz	Sokolov	Chomutov	Děčín	Doksany	Krupka	Lom	Litoměřice	Měděnec	Most	Rudolice v Horách	Sněžník	Teplice 	Tušimice	Ústí n.L.-Všebořická (hot spot)	Ústí n.L.-Kočkov	Ústí n.L.-město	Česká Lípa	Frýdlant	Liberec Rochlice	Souš	Hradec Králové-Brněnská	Hradec Králové-observatoř	Krkonoše-Rýchory	Polom	Trutnov - Tkalcovská	Moravská Třebová - Piaristická.	Pardubice-Rosice	Pardubice Dukla	Svratouch	Havl.Brod-Smetan.nám.	Jihlava	Jihlava-Znojemská	Kostelní Myslová	Košetice	Třebíč	Ždár nad Sázavou	Brno - Dětská nemocnice	Brno-Arboretum	Brno-Lány	Brno-Svatoplukova	Brno-Výstaviště	Brno-Zvonařka	Brno-Masná	Brno-Líšeň	Brno-Úvoz (hot spot)	Brno-Tuřany	Hodonín	Kuchařovice	Mikulov-Sedlec	Sivice	Mokrá	Znojmo	Jeseník-lázně	Olomouc-Hejčín	Olomouc-Šmeralova	Přerov	Prostějov	Otrokovice-město	Štítná n.Vláří	Těšnovice	Uherské Hradiště	Valašské Meziříčí	Zlín	Bílý Kříž	Červená hora	Český Těšín	Frýdek-Místek	Havířov	Horní Lomná	Karviná-ZÚ	Karviná	Ostrava-Českobratrská (hot spot)	Odry	Ostrava-Fifejdy	Ostrava-Mariánské Hory	Ostrava-Poruba, DD	Ostrava-Poruba/ČHMÚ	Ostrava-Přívoz	Ostrava-Radvanice ZÚ	Ostrava Radvanice OZO	Orlová	Opava-Kateřinky	Ostrava-Zábřeh	Rýmařov	Studénka	Třinec-Kanada	Třinec-Kosmos	Věřňovice
10	11	2015	2	32				1.3						4.5		1.3					2.9				3.5		4.0							1.3		10.4		1.3	8.3	13.3			1.3	34.9			3.7	3.2	20.5	12.2	1.3			1.3	21.3	1.3		11.2	6.7		4.8	1.3								6.4	4.8			3.2			1.3					8.0							1.3			5.6	1.3			1.3			3.2							1.3			1.3			14.6		13.6		5.6	3.2	12.5		1.3	6.1		5.6			1.3	5.6	4.3			8.8
10	11	2015	4	31																					4.0		4.0							1.3		9.6		1.3	8.5	14.4			1.3	5.3				12.8	43.4		1.3			1.3	36.0	1.3		18.9	13.3		5.1	1.3								5.9	1.3			3.2								10.1							1.3			5.1	2.7			1.3			3.5				2.9			1.3	1.3		1.3			19.4		17.6		5.6	1.3	11.7		1.3	2.9		5.6			1.3	5.6	3.2			7.5
10	11	2015	5	28																					4.3									1.3		10.9		1.3	8.3	13.8			1.3	34.1			3.7	22.6		6.9	1.3			1.3	25.3	1.3		24.8	11.7		4.5	5.6								5.9	2.9			3.2								7.2							1.3			5.6	1.3			1.3			3.7				1.3			1.3	3.2		1.3			15.4		14.1		5.6	1.3	11.7		1.3	2.7		10.9			1.3	12.0	3.7			7.2
10	11	2015	6	28																					3.5		4.0							1.3		10.9			8.3	13.6			1.3	28.2			4.3	4.5	26.9	7.2	1.3			1.3	18.1	1.3		22.4			4.0									6.4				3.5								9.6							1.3			5.3	2.9			1.3			4.3				3.2			2.9	1.3		1.3			18.1				5.6	1.3	12.0			11.7		11.2				5.6	3.2			6.9
10	11	2015	7	29				1.3						4.8		1.3					1.3				2.9		4.5							1.3		8.3		1.3	8.5				1.3	6.7			4.3	4.0	27.4	13.8	1.3			1.3	20.0	1.3		18.4	8.8		5.3	7.5								7.7	5.3			3.5			1.3					5.1							1.3			5.9	2.9			1.3							3.5			3.2	1.3		1.3			14.9		8.3		5.6	1.3	11.5		1.3	17.6		5.6			1.3	5.6	3.2			12.5
10	11	2015	8	24				1.3						4.8		1.3					1.3				4.3		4.5							1.3		8.3		1.3	9.3	13.6			1.3	4.8			4.5	3.7	13.3	12.8	1.3			1.3	12.5	1.3		9.3	6.4		5.3	5.1								25.6	4.0			3.5			1.3					6.7							1.3			5.6	2.9			1.3			3.5				3.2			1.3	1.3		1.3			12.0		7.5		5.6	1.3	12.5		1.3	18.1		5.6			1.3	5.6	3.2			13.0
10	11	2015	9	23				1.3						5.3		1.3					1.3						4.5							1.3		10.7		1.3	8.0	13.0				5.9			4.8	2.9	22.6	15.2	1.3			1.3	12.8	1.3		6.1	5.6			1.3								24.2	3.7			3.2			1.3					9.9							1.3			6.1	2.7			1.3			3.7				3.2			1.3	1.3		1.3			5.6		7.7		5.6	1.3	11.2		2.9	19.4		5.6			1.3	11.5	2.7			12.0
10	11	2015	10	24				1.3								1.3					2.7				3.2		4.5							1.3		30.4		1.3	8.3	13.8			1.3	18.9			4.5	3.5	28.2	12.5				1.3	20.2	1.3		11.5	8.3			1.3								19.2	6.9			3.2			1.3					8.8							1.3			5.6	2.9			1.3			2.9				2.9			3.2	1.3		1.3			5.6		7.5		5.6	1.3	11.2		1.3	4.8		5.6			1.3	14.6	1.3			9.3
10	11	2015	11	24				1.3								1.3					2.7				4.3		4.0							1.3		14.1		1.3	9.3	13.8			1.3	5.1			4.8	3.7	6.4	12.8	1.3			1.3	12.5				4.8											17.3	11.5			2.9								9.3							1.3			5.6	2.9			1.3			2.9				3.2			3.7	1.3		1.3					13.3		5.6	1.3	11.2		1.3	7.7		5.6			1.3	15.4				7.2
10	11	2015	12	23				1.3								1.3					2.9				5.9		4.0							1.3		10.9		1.3	8.0				1.3	24.8			7.5	3.7	7.2	6.9	1.3			1.3	8.3	1.3		4.8	1.3											16.0	8.8			2.7			1.3					9.6							1.3			5.9	2.9			1.3			4.5				3.5			3.5	2.7		1.3			22.1		16.5		10.9	3.5	12.0		1.3	13.8		5.6			1.3	11.7	2.9			5.1
10	11	2015	13	23				1.3						1.3		1.3					1.3				6.7		4.5							1.3		6.9		1.3	9.6	7.5			1.3				8.3	4.3	6.9	9.1	1.3			1.3	6.9	1.3		4.5	1.3			1.3								8.3	15.4			2.9			1.3					9.9							1.3			5.9	2.9			1.3			4.8				3.5			3.2	2.9		1.3					19.4			9.9	12.8		3.7	6.7					1.3					4.8
10	11	2015	14	24				1.3								1.3					1.3				7.2		4.3							1.3		4.5		1.3	13.6	6.9			1.3	4.0			6.4	2.9	21.6	7.2	1.3			1.3	7.7	1.3		1.3	1.3			1.3								8.0	13.3			3.2			1.3					10.1							1.3			5.9	2.9			1.3			4.3				2.9			1.3	1.3		1.3					13.8			3.7	12.0		1.3	4.3		5.6			1.3		1.3			4.3
10	11	2015	15	23				1.3						1.3		1.3					1.3				6.9		3.5							1.3		4.3		1.3	14.6	6.1			1.3				4.5	3.5	6.1	5.6	1.3			1.3	8.5	1.3		4.0	1.3			1.3								9.3	13.3			2.9			1.3					9.9							1.3			5.9	2.9			1.3			4.8				3.5			2.9	1.3		7.5			12.5		5.3		5.6	2.7	11.5		1.3	4.3		5.6			1.3	5.6	1.3			3.2
10	11	2015	16	23				1.3						1.3		1.3					3.2				4.0		4.0							1.3		5.6		1.3	10.4	6.7			1.3	32.2			6.1	3.2	44.7	9.3	1.3			1.3	8.5	1.3			1.3			1.3								11.7	7.2			3.2			1.3					10.1							1.3			5.9	2.9			1.3			4.5				3.2			1.3	2.9		37.5			18.6		6.4		5.6	3.5	5.6		1.3	3.5		5.6			1.3	5.6	1.3			1.3
10	11	2015	17	23				1.3						1.3		1.3									4.3		4.3							1.3		6.7		1.3	10.4	6.9			1.3	34.9			5.6	4.0	16.8	9.9	1.3			1.3	6.9	1.3		1.3	1.3		15.4	1.3								11.7	8.3			2.9			1.3					9.3							1.3			5.9	2.7			1.3			5.1				2.9			3.5	2.9		6.7			11.7		7.2		11.7	2.9	11.7		1.3	4.8		5.6			1.3	5.6	2.9			7.2
10	11	2015	18	24				1.3						1.3		1.3					1.3				5.6		4.5							2.7		5.1		1.3	14.6	7.2			1.3	29.3			5.1	4.0	5.3	6.4	1.3			1.3	8.8	1.3		1.3	1.3		16.0	1.3								13.0	8.0			3.5			1.3					9.6							1.3			6.7	2.9			1.3			5.6				3.5			3.5	3.5		8.5			28.0		7.7		13.3	4.5	11.2		1.3	3.7		5.6			1.3	5.6	5.6			5.3
10	11	2015	19	23				1.3						12.8		1.3					1.3				4.8		2.9							2.7		3.5	3.2	2.7	14.6	7.2			1.3	69.8			5.1	4.3	4.3	6.7	1.3			1.3	9.6	1.3		1.3	1.3		8.5	1.3								12.8	11.5			3.2			1.3					9.6							1.3			5.6	2.9			1.3			6.9				4.8			2.7	4.5		11.7			34.1		6.9		12.8		12.0		1.3	3.7		5.6			1.3	5.6	5.3
10	11	2015	20	24										1.3		1.3					2.9				5.1		4.5							2.9		3.5	3.7	1.3	16.0	7.2			1.3	51.9			5.6	4.8	4.8	6.9	1.3			1.3	8.0	1.3		1.3	1.3		15.7	1.3								11.5	11.5			1.3			1.3					9.6							1.3			6.7	2.9			1.3			5.6				1.3			1.3	5.1		4.8			42.9		10.1		12.8	6.7	13.6		1.3	4.5		5.6			1.3	5.6	1.3			13.3
10	11	2015	21	24				1.3						1.3		1.3					2.9				5.1		4.8							2.7		2.7	3.7	1.3	14.4	6.9			1.3	66.0			6.9	5.3	4.5	6.9	1.3			1.3	9.6	1.3		1.3	4.0		16.5	1.3								10.7	8.3			2.7			1.3					9.3							1.3			5.9	2.7			1.3			5.1				1.3			2.7	4.3		4.0			23.4		9.6		12.0	5.6	13.0		1.3	3.7		5.6			1.3	5.6	1.3			20.0
10	11	2015	22	24				1.3						1.3		1.3					3.5				3.5		4.8									2.9	3.5	1.3	13.8	7.2			1.3	34.6			5.9	5.3	5.1	6.7	1.3			1.3	9.1	1.3		1.3	1.3		8.8	1.3								10.9	8.0			2.9			1.3					9.6							1.3			5.6	2.9			1.3			4.0				2.9			1.3	1.3					33.8		16.0		14.6	5.3	12.8		1.3			5.6			1.3	5.6	1.3			19.2
10	11	2015	23	25				1.3						2.7		1.3					4.0				3.7		4.5							2.7		1.3		1.3	11.7	6.7			1.3	41.0			5.3	4.8	6.4	8.3	1.3			1.3	9.1	1.3		1.3	1.3		6.1	1.3								12.0	12.5			2.7			1.3					9.9							1.3			5.6	2.9						4.5				3.5			1.3	2.9		1.3			30.9		10.9		14.4	5.3	12.5		1.3	4.0		5.6			1.3	5.6	4.5			16.8
11	11	2015	0	25				1.3						1.3		1.3					2.9				4.0		4.0							1.3			32.2	1.3		6.9			1.3	38.9			4.8		4.8	12.0	1.3				12.5	1.3		1.3	1.3		4.3	1.3								9.6	4.5			2.9			1.3					8.5							1.3			5.9	2.9			1.3			5.1				2.9			1.3	4.5		3.2			37.5		13.0		11.7	13.0	13.3		3.7	5.6		5.6			2.9	5.6	4.8			22.9
11	11	2015	1	37				1.3						1.3		1.3					1.3				3.2		4.0							1.3		1.3	29.3	1.3	9.1	6.9			1.3	23.4			4.8	4.0	9.9	13.8	1.3			1.3	7.5	1.3		1.3	1.3		4.8	1.3								6.9	3.7			2.9			1.3					7.2							1.3				2.9			1.3			7.5				3.2						3.2			17.8		9.6		12.0	11.7			1.3	4.5		10.9			1.3	5.6	2.7			5.6
11	11	2015	2	32				1.3						1.3		1.3					3.2				4.0		3.7							1.3		1.3	26.4	1.3	11.5	7.2			1.3	8.3			4.5	3.5	5.6	17.8	1.3			1.3	10.7	1.3		1.3	1.3		5.1	1.3									3.7			2.7			1.3					9.3							1.3			5.6	2.9			1.3			6.1							1.3	3.2		1.3			16.5		7.2		15.7	5.3	12.5		1.3	3.2		5.6			1.3	11.7	5.1			7.5
11	11	2015	4	28				1.3						1.3		1.3					1.3				3.7									1.3		1.3	22.4	1.3	10.9	7.2			1.3	8.0			4.5	4.0	5.3		1.3			1.3	12.8	1.3		1.3	1.3		1.3	1.3								8.3	3.7			2.7			1.3					6.9							1.3			5.3	2.9			1.3			3.7				3.2			1.3	3.2		3.7			15.2		9.3		13.0	6.9	13.6		2.7	5.1		5.6			1.3	13.3	3.5			6.9
11	11	2015	5	28				1.3						1.3		1.3					1.3				4.5		3.5							1.3		1.3	21.0		12.8	6.9			1.3	10.9			5.1	3.7		5.9	1.3			1.3	10.4	1.3		1.3			4.8	1.3								8.8	4.3			2.9			1.3					10.4							1.3			5.6	2.7			1.3			3.7				3.5			1.3	3.2		1.3			18.1				12.5	5.6	12.8			3.7		5.6				15.4	2.9			6.1
11	11	2015	6	29				1.3						1.3		1.3					1.3				3.7		4.3							1.3		1.3	18.9	1.3	10.1	7.2			1.3	19.2			4.8	4.0	4.8	5.9	1.3			1.3	13.0	1.3		1.3	1.3		4.0	1.3								8.3				2.9			1.3					10.1							1.3			5.6	2.9			1.3							3.2			1.3	1.3		1.3			19.4		14.9		14.4	5.9	12.8		3.5	3.7		5.6			1.3	13.6	3.5			5.9
11	11	2015	7	28				1.3						1.3		1.3					1.3				4.0		4.5							1.3		1.3	17.3	1.3	9.9	6.4			1.3	46.1			4.8	4.3	4.3	6.9	1.3			1.3	11.5	1.3		1.3	1.3		5.3	1.3								6.9	4.8			2.9			1.3					8.5							1.3			5.9	2.7			1.3			3.7				3.2			1.3	1.3		1.3			30.6		13.6		12.2	6.4	13.3		4.8	4.5		5.6			1.3	5.6	3.2			8.3
11	11	2015	8	24				1.3						1.3		1.3					1.3						5.1							1.3		1.3	16.2	1.3	10.4	7.5			1.3	36.5			4.5	4.8	4.0	5.6	1.3			1.3	9.9	1.3		1.3	1.3		6.7	1.3								6.9	5.6			2.9			1.3					9.1							1.3			5.6	2.7			1.3			4.0				3.2			1.3	1.3		1.3			42.6		12.2		13.6	6.4	13.3		5.1	6.1		5.6			1.3	10.9	1.3			9.6
11	11	2015	9	24				1.3						1.3		1.3					1.3				4.0		5.6							2.7		1.3	14.9	1.3	10.4	6.9				6.9			4.3	4.0	4.5	6.7				1.3	9.3	1.3		1.3	1.3		6.1	1.3								9.6	5.9			2.7			1.3					9.3							1.3			5.9	2.7			1.3			4.0				1.3			1.3	1.3		1.3			32.5		9.9		13.3	5.9	12.5		4.3	6.7		5.6			1.3	12.8	1.3			8.0
11	11	2015	10	23				1.3						1.3		1.3					1.3				4.5		6.7							39.9		1.3	13.8	1.3	13.3	8.0			1.3	34.9			4.8	4.0	4.8	6.1	1.3			1.3	11.7				1.3		5.6	1.3								10.9	8.8			2.9			1.3					9.3							1.3			5.6	2.7			1.3			4.5				2.9			1.3	1.3		1.3			21.6		7.2		12.5	4.3	11.7		3.5	3.7		11.2			1.3	5.6				9.9
11	11	2015	11	23				1.3						1.3		1.3					2.9				3.5		9.9							1.3		1.3	12.8	1.3	12.5	6.7			1.3	65.0			5.6	4.0	6.1	5.6	1.3			1.3	9.1	1.3			1.3		5.9									8.5	6.4			2.9			1.3					9.1							1.3			5.3	2.7			1.3			5.3				2.9			1.3	1.3		1.3			38.6		10.9		12.2	5.1	12.0		2.9	5.6		5.6			1.3	11.7	2.9			11.2
11	11	2015	12	24				1.3						1.3		1.3					1.3				5.3		5.1							1.3		1.3	11.7	1.3	12.0				1.3	13.8			5.1	3.7	6.4	5.9	1.3			1.3	8.0	1.3			1.3		6.9	1.3								7.7	4.3			2.9								9.1							3.7			5.3	1.3			1.3			4.8				2.9			2.9	1.3		1.3			33.6		16.0		13.8	5.3	12.2		3.2	5.6		5.6			1.3	12.8	3.7			13.6
11	11	2015	13	24				1.3								1.3					1.3				5.9		4.8	4.0						1.3		1.3	10.7	1.3	14.4	7.7			1.3	36.0			5.1	4.0	10.7	5.3	1.3			1.3	8.3	1.3			2.7		5.6	1.3								7.2	5.9			3.2								8.5							1.3			5.3	2.7			1.3			4.3				1.3			4.3	1.3		1.3			18.1		14.4		14.9	5.9	13.0		3.2	4.8		5.6			1.3	14.6	3.7			14.4
11	11	2015	14	23				1.3						1.3		1.3					1.3				6.4		5.1	5.1						1.3		5.3	10.1	1.3	10.1	7.7			1.3				4.5	3.7	5.6	6.1	1.3			1.3	9.1	1.3		3.7	5.9		5.1	1.3								7.7	4.8			2.9								8.8							1.3			5.6	1.3			1.3			1.3				1.3			2.7	1.3		1.3			10.9		11.5		13.8	5.6	12.8		3.2	5.1		5.6			1.3	14.9	4.0			8.8
11	11	2015	15	24				1.3						1.3		1.3					1.3				5.1		4.5	5.9						1.3		5.1	9.1	1.3	10.7	7.2			1.3	12.0			4.5	4.0	8.3	6.4	1.3			1.3	6.7	1.3			8.0			1.3								6.9	6.7			2.9			1.3					9.6							1.3			5.6	2.7			1.3			3.2				3.7			2.9	1.3		1.3			14.9				12.2	5.1	12.5		1.3	4.8		5.6			1.3	13.6	2.7			8.5
11	11	2015	16	24				1.3						1.3		1.3									5.9		4.5	5.9						1.3		1.3	8.5	1.3	11.7	7.5			1.3	6.7			4.8	3.7	9.3	7.2	1.3			1.3	12.2	1.3		3.5	5.3		4.8	1.3								7.5	4.8			3.2			1.3					9.1							1.3			5.3	2.7			1.3			4.0				6.1			3.5	1.3		1.3			11.7		4.0		11.2	5.3	12.2		1.3	4.5		5.6			1.3	10.9	1.3			6.9
11	11	2015	17	23				1.3						1.3		1.3					1.3				6.1		4.3	5.3						1.3		1.3	7.7	1.3	15.4	7.5			1.3	4.5			5.1	9.6	7.5	5.9	1.3			1.3	9.3	1.3		8.3	3.2		5.3	1.3								7.2	3.7			2.9			1.3					9.3							1.3			5.6	2.7			1.3			5.6				5.1			3.5	1.3		1.3			26.4		1.3		12.5	4.5	11.7		1.3	1.3		5.6			1.3	5.6	1.3			5.3
11	11	2015	18	23				1.3						2.9		1.3					3.7				4.8		4.8	5.9						3.7	1.3	1.3	7.5	1.3	12.8	6.9			1.3	14.1			5.6	4.0	24.8	5.6	1.3			1.3	9.6	1.3		8.3	1.3		5.3	1.3								6.7	4.3			2.9			1.3					8.8							1.3			5.3	2.7			1.3			5.9				4.0			2.9	1.3		1.3			34.9		16.8		14.6		11.7		1.3	1.3		5.6			1.3	5.6	2.9
11	11	2015	19	25										1.3		1.3					8.0				4.3		5.3							4.3	2.7	1.3	7.5	1.3	9.6	7.7			1.3	13.6			6.4	6.9	22.1	6.1	1.3			1.3	13.0	1.3		7.2	1.3		6.4	2.7								6.9	3.7			3.5			1.3					10.4							1.3			5.6	2.7			1.3			4.0				3.2			1.3	1.3		1.3			40.5		5.9		14.1	4.3	12.0		1.3	1.3		5.6			1.3	5.6	3.2			5.9
11	11	2015	20	23				1.3						1.3		1.3					7.7				4.3		5.1	5.1						3.7	2.9	1.3	6.9	1.3	10.1	7.5			1.3	13.3			8.0	6.1	8.0	5.6	1.3			6.1	12.5	1.3		13.6	1.3		6.1	1.3								6.4	4.3			2.9			1.3					8.0							1.3			5.6	2.7			1.3			3.5				3.2			2.9	1.3		1.3			38.1		10.4		13.8	4.3	12.2		1.3	1.3		5.6			1.3	5.6	3.7			6.1
11	11	2015	21	24				1.3						1.3		1.3					5.6				4.8		4.8	4.5							2.9	1.3	6.9	1.3	10.7	7.5			1.3	6.7			5.9	5.3	6.4	5.6	1.3			8.3	16.2	2.9		8.5	1.3		6.9	3.7								6.7	4.3			2.9			1.3					10.4							1.3			5.3	2.7			1.3			3.7				2.9			1.3	1.3					43.9		8.8		13.6	4.5	12.8		3.5			5.6			1.3	5.6	2.7			4.8
11	11	2015	22	24				1.3						1.3		1.3					3.5				3.5		4.3	4.3						3.7	3.2	1.3		1.3	9.9	7.2			1.3	6.9			5.1	12.5	3.7	5.3	1.3			1.3	11.7	5.3		8.8	1.3		7.7	3.5								6.7	4.3			3.2			1.3					8.8							1.3			6.1	2.7						4.0				3.2			2.9	1.3		1.3			36.2		7.7		16.5	5.1	13.3		3.2			5.6			1.3	12.8	5.6			6.4
11	11	2015	23	24				1.3						1.3		1.3					2.7				3.5		4.0	5.3						3.2	2.9		3.7	1.3		7.7			1.3	21.8			4.5		3.5	4.8	1.3			1.3	10.7	6.7		5.3	1.3		7.5	3.2								6.1	3.2			2.9			1.3					11.2							1.3			5.9	2.7			1.3			3.7				3.5			2.9	1.3		1.3			28.5		4.5		14.6	8.0	16.0		4.3			10.9			3.7	17.3	3.5			6.1
12	11	2015	0	24				1.3						2.9		1.3					1.3				3.2		3.7	4.5						1.3	1.3	1.3	3.5	1.3	10.1	7.2			1.3	19.4			5.1	7.2	4.8	4.5	1.3				9.6	5.3		4.3	1.3		7.2	3.7								5.9	2.7			1.3			1.3					9.6							1.3			5.3	2.9			1.3			4.3				3.5			2.9			1.3			24.0		6.4		11.5	5.3	13.6		3.5			10.9			1.3	14.9	3.2			7.7
