d	m	y	h	i	Praha 8-Karlín	Praha 2-Legerova (hot spot)	Praha 1-n. Republiky	Praha 2-Riegrovy sady	Praha 5-Smíchov	Praha 10-Vršovice	Praha 9-Vysočany	Praha 4-Braník	Praha 8-Kobylisy	Praha 4-Libuš	Praha 5-Stodůlky	Praha 6-Suchdol	Praha 6-Břevnov	Praha 10-Průmyslová	Beroun	Kladno-střed města	Kladno-Švermov	Mladá Boleslav	Ondřejov	Příbram	Rožďalovice-Ruská	Tobolka-Čertovy schody	České Budějovice	Churáňov	Hojná Voda	Kocelovice	Prachatice	Tábor	Kamenný Újezd	Plzeň-Slovany	Plzeň-Bory	Plzeň-střed	Plzeň-Lochotín	Plzeň-Skvrňany	Plzeň-Doubravka	Plzeň - mobil 20.03.2013 Plzeň - Litice	Přimda	Cheb	Přebuz	Sokolov	Chomutov	Děčín	Doksany	Krupka	Lom	Litoměřice	Měděnec	Most	Rudolice v Horách	Sněžník	Teplice 	Tušimice	Ústí n.L.-Všebořická (hot spot)	Ústí n.L.-Kočkov	Ústí n.L.-město	Česká Lípa	Frýdlant	Liberec Rochlice	Souš	Hradec Králové-Brněnská	Hradec Králové-observatoř	Krkonoše-Rýchory	Polom	Trutnov - Tkalcovská	Moravská Třebová - Piaristická.	Pardubice-Rosice	Pardubice Dukla	Svratouch	Havl.Brod-Smetan.nám.	Jihlava	Jihlava-Znojemská	Kostelní Myslová	Košetice	Třebíč	Ždár nad Sázavou	Brno - Dětská nemocnice	Brno-Arboretum	Brno-Lány	Brno-Svatoplukova	Brno-Výstaviště	Brno-Zvonařka	Brno-Masná	Brno-Líšeň	Brno-Úvoz (hot spot)	Brno-Tuřany	Hodonín	Kuchařovice	Mikulov-Sedlec	Sivice	Mokrá	Znojmo	Jeseník-lázně	Olomouc-Hejčín	Olomouc-Šmeralova	Přerov	Prostějov	Otrokovice-město	Štítná n.Vláří	Těšnovice	Uherské Hradiště	Valašské Meziříčí	Zlín	Bílý Kříž	Červená hora	Český Těšín	Frýdek-Místek	Havířov	Horní Lomná	Karviná-ZÚ	Karviná	Ostrava-Českobratrská (hot spot)	Odry	Ostrava-Fifejdy	Ostrava-Mariánské Hory	Ostrava-Poruba, DD	Ostrava-Poruba/ČHMÚ	Ostrava-Přívoz	Ostrava-Radvanice ZÚ	Ostrava Radvanice OZO	Orlová	Opava-Kateřinky	Ostrava-Zábřeh	Rýmařov	Studénka	Třinec-Kanada	Třinec-Kosmos	Věřňovice
10	11	2015	2	32	13.0	7.0	5.0	9.0	14.0	10.0	12.0	15.0	10.0	10.1	8.0	18.0	9.0	22.0	5.0	20.0	11.0	13.0		8.0	7.0		9.0		11.0		12.0	18.0	14.0	16.0	5.0	6.0	5.0	5.0	18.0	8.0		8.0		9.0	8.0	10.0		9.0	11.0	10.0	7.0	12.0	14.0		7.0	9.0	11.0	10.0	9.0	3.0		8.0		9.0			26.0	12.0	5.0		15.0		9.0	16.0	9.0		12.0	8.0	9.0	29.0	37.0	9.8	12.6	29.9	9.9	9.0	17.0	8.0	8.0	9.0		4.0	7.0	9.0	11.0	3.0	66.0	50.0	42.0	33.0			8.0	30.7	47.0	51.0			16.0	13.0	12.0	11.0	23.0	21.0	17.0	24.0	13.0	18.0	6.0		11.0	39.0	13.0	9.0	11.0	15.0	20.0	24.0	12.0	24.0	19.0
10	11	2015	4	31																		12.0			9.0		11.0		9.0		16.0	13.0	6.0	17.0	5.0	5.0	5.0	4.0	6.0	7.0		11.0		7.0	7.0	14.0		7.0	10.0	7.0	4.0	5.0	7.0		9.0	4.0	9.0	6.0	5.0	3.0		3.0		13.0			10.0	12.0	4.0		16.0		8.0	7.0	8.0			5.0	7.0	10.0	16.1	9.1	9.7	9.7	9.4	8.0	8.0	7.0	10.0	8.0		7.0	5.0	5.0	8.0	10.0	34.0	9.0	18.0	10.0			7.0	14.9	23.0	21.0			19.0	6.0	11.0	7.0	19.0	20.0	16.0	12.0	15.0	15.0	8.0		34.0	47.0	11.0	19.0	15.0	13.0	5.0	12.0	6.0	17.0	14.0
10	11	2015	5	28																		7.0			5.0		7.0		6.0		10.0	12.0	3.0	12.0	4.0	6.0	5.0	5.0	4.0	6.0		8.0		4.0	7.0	8.0		5.0	6.0	9.0	4.0	8.0	5.0		8.0	8.0	14.0	4.0	5.0	5.0		5.0		12.0			5.0	7.0	3.0		10.0		8.0	4.0	7.0			4.0	7.0	6.0	9.2	9.4	11.8	6.1	11.9	9.0	7.0	7.0	6.0	8.0		4.0	5.0	5.0	6.0	8.0	32.0	8.0	20.0	6.0			11.0	10.1	15.0	13.0			23.0	5.0	7.0	9.0	18.0	15.0	14.0	8.0	21.0	13.0	7.0		19.0	47.0	12.0	18.0	9.0	11.0	5.0	11.0	9.0	13.0	12.0
10	11	2015	6	28																		6.0			6.0		7.0		6.0		7.0	11.0	1.0	8.0	5.0	5.0	5.0	6.0	4.0	7.0		4.0		4.0	10.0	8.0		3.0	4.0	8.0	3.0	6.0	3.0		7.0	7.0	22.0	5.0	12.0	7.0		9.0		8.0			4.0	5.0	3.0		6.0		7.0	2.0	7.0			4.0	7.0	5.0	5.7	8.7	10.9	3.4	21.2	13.0	13.0	9.0	5.0	8.0		5.0	4.0	4.0	5.0	13.0	31.0	8.0	14.0	3.0			6.0	6.9	9.0	8.0			12.0	5.0	4.0	10.0	17.0	18.0	13.0	6.0	16.0	11.0	5.0		17.0	40.0	10.0	14.0	6.0	9.0	7.0	19.0	8.0	7.0	16.0
10	11	2015	7	29	12.0	6.0	3.0	4.0	8.0	8.0	6.0	5.0	7.0	5.7	7.0	6.0	4.0	5.0	6.0	4.0	16.0	18.0		5.0	7.0		9.0		5.0		5.0	10.0	2.0	6.0	5.0	6.0	5.0	6.0	7.0	7.0		4.0		8.0	6.0	14.0		11.0	7.0	10.0	3.0	14.0	3.0		9.0	9.0	22.0	12.0	7.0	6.0		6.0		9.0			4.0	9.0	4.0		4.0		8.0	2.0	8.0		10.0	5.0	7.0	5.0	4.5	8.5	17.6	2.4	21.7	20.0	13.0	16.0	5.0	8.0		4.0	5.0	4.0	4.0	8.0	17.0	9.0	11.0	3.0			9.0	11.4	8.0	7.0			9.0	7.0	7.0	12.0	16.0	17.0	11.0	19.0	14.0	8.0	8.0		12.0	43.0	5.0	14.0	16.0	9.0	6.0	11.0	7.0	8.0	15.0
10	11	2015	8	24	7.0	10.0	2.0	8.0	26.0	12.0	8.0	4.0	8.0	7.5	14.0	7.0	10.0	6.0	5.0	4.0	10.0	13.0		4.0	4.0		8.0		4.0		6.0	8.0	4.0	15.0	6.0	6.0	5.0	6.0	5.0	8.0		3.0		4.0	10.0	29.0		11.0	10.0	14.0	8.0	11.0	6.0		9.0	12.0	12.0	17.0	7.0	4.0		8.0		16.0			4.0	15.0	5.0		8.0		7.0	13.0	13.0		9.0	5.0	7.0	4.0	2.9	9.9	18.2	3.6	29.8	29.0	8.0	25.0	5.0	12.0		2.0	5.0	4.0	11.0	8.0	12.0	9.0	27.0	3.0			7.0	20.8	6.0	6.0			7.0	19.0	13.0	6.0	14.0	16.0	13.0	11.0	10.0	9.0	16.0		7.0	31.0	3.0	12.0	10.0	7.0	5.0	8.0	10.0	6.0	10.0
10	11	2015	9	23	14.0	10.0	6.0	13.0	34.0	15.0	8.0	9.0	9.0	6.2	9.0	12.0	7.0	18.0	4.0	4.0	7.0	11.0		4.0	4.0		7.0		3.0		7.0	5.0	6.0	13.0	6.0	8.0	6.0	7.0	7.0	19.0		21.0		3.0	14.0	20.0		6.0	7.0	13.0	7.0	7.0	6.0		13.0	9.0	13.0	10.0	21.0	11.0		14.0		16.0			3.0	11.0	5.0		12.0		7.0	9.0	11.0		1.0	8.0	6.0	7.0	3.1	13.0	19.6	9.9	25.8	30.0	6.0	22.0	17.0	11.0		7.0	6.0	5.0	7.0	8.0	13.0	13.0	15.0	2.0			9.0	19.0	6.0	7.0			5.0	10.0	11.0	13.0	13.0	15.0	18.0	10.0	9.0	7.0	26.0		14.0	30.0	3.0	10.0	6.0	12.0	9.0	5.0	13.0	9.0	10.0
10	11	2015	10	24	18.0	12.0	17.0	14.0	27.0	37.0	19.0	6.0	6.0	7.5	5.0	10.0	5.0	32.0	8.0	4.0	7.0	8.0		7.0	4.0		9.0		3.0		6.0	9.0	19.0	14.0	5.0	8.0	5.0	6.0	16.0	8.0		17.0		2.0	9.0	12.0		4.0	7.0	10.0	4.0	18.0	5.0		9.0	5.0	15.0	11.0	15.0	15.0		9.0		10.0			7.0	12.0	4.0		15.0		8.0	5.0	11.0		5.0	9.0	7.0	27.0	6.8	8.9	21.1	6.1	15.0	16.0	7.0	13.0	11.0	11.0		9.0	5.0	7.0	6.0	12.0	13.0	11.0	8.0	3.0			6.0	12.0	5.0	12.0			4.0	6.0	16.0	14.0	13.0	8.0	16.0	5.0	12.0	8.0	27.0		21.0	33.0	5.0	9.0	23.0	12.0	6.0	4.0	12.0	6.0	11.0
10	11	2015	11	24	11.0	12.0	21.0	19.0	22.0	42.0	24.0	5.0	5.0	4.6	7.0	10.0	3.0	18.0	24.0	6.0	7.0			9.0	11.0		15.0		10.0		10.0	14.0	13.0	15.0	5.0	6.0	5.0	6.0	22.0	8.0		13.0		6.0	9.0	7.0		4.0	15.0	13.0	2.0	22.0	4.0		19.0	4.0	12.0	13.0	16.0	9.0		9.0		7.0			6.0	15.0	4.0		18.0		8.0	3.0	12.0			22.0	7.0	16.0	4.8	10.7	11.3	21.9	16.0	12.0	5.0	15.0	6.0	10.0		12.0	4.0	6.0	5.0	8.0	21.0	17.0	7.0	7.0			4.0	9.5	4.0	8.0			7.0	5.0	12.0		16.0	5.0	17.0	19.0	12.0	9.0	24.0		21.0	19.0	7.0	11.0	14.0	7.0	9.0	8.0	14.0	8.0	20.0
10	11	2015	12	23	11.0	9.0	11.0	12.0	21.0	36.0	22.0	4.0	9.0	3.3	18.0	6.0	14.0	30.0	13.0	6.0	5.0			7.0	17.0		12.0		8.0		15.0	14.0	10.0	11.0	4.0	7.0	5.0	5.0	30.0	7.0		10.0		17.0	5.0	16.0		3.0	9.0	16.0	2.0	12.0	3.0		10.0	4.0	10.0	12.0	19.0	6.0		12.0		5.0			4.0	20.0	4.0		11.0		10.0	4.0	11.0		11.0	13.0	8.0	10.0	3.4	8.1	10.3	13.9	10.7	18.0	4.0	12.0	4.0	12.0		8.0	4.0	5.0	4.0	7.0	28.0	22.0	18.0	10.0			15.0	22.5	3.0	5.0			14.0	6.0	8.0	10.0	17.0	4.0	19.0	7.0	20.0	10.0	25.0		22.0	25.0	8.0	13.0	9.0	4.0	5.0	14.0	7.0	17.0	23.0
10	11	2015	13	23	15.0	9.0	9.0	8.0	17.0	40.0	21.0	7.0	12.0	3.6	10.0	6.0	9.0	17.0	8.0	4.0	6.0			10.0	12.0		14.0		6.0		9.0	15.0	7.0	10.0	4.0	5.0	5.0	6.0	18.0	8.0		7.0		14.0	7.0	18.0		2.0	5.0	10.0	1.0	10.0	3.0		18.0	3.0	8.0	14.0	10.0	4.0		7.0		5.0			9.0	17.0	5.0		7.0		11.0	13.0	12.0		1.0	9.0	8.0	18.0	10.2	7.4	9.3	12.3	8.9	13.0	4.0	14.0	14.0	7.0		5.0	4.0	4.0	12.0	9.0	27.0	13.0	25.0	8.0			9.0	25.6	11.0	3.0			15.0	11.0	10.0			19.0	17.0		15.0	8.0			27.0	23.0		14.0	6.0	12.0		12.0	4.0	20.0	19.0
10	11	2015	14	24	8.0	10.0	11.0	7.0	9.0	40.0	14.0	12.0	8.0	3.0	6.0	10.0	6.0	18.0	10.0	6.0	10.0			10.0	10.0		10.0		5.0		8.0	13.0	6.0	7.0	5.0	5.0	5.0	6.0	18.0	8.0		5.0		11.0	10.0	15.0		1.0	8.0	7.0	1.0	6.0	6.0		11.0	3.0	8.0	8.0	12.0	12.0		4.0		7.0			10.0	11.0	11.0		7.0		11.0	7.0	10.0		6.0	8.0	10.0	11.0	6.5	7.1	8.6	10.1	10.4	13.0	14.0	14.0	11.0	8.0		5.0	3.0	4.0	7.0	6.0	19.0	12.0	14.0	10.0			7.0	15.8	12.0	4.0			9.0	8.0	9.0			28.0	18.0		16.0	7.0			15.0	17.0	7.0	11.0	3.0	12.0		14.0	3.0	14.0	11.0
10	11	2015	15	23	11.0	10.0	16.0	10.0	11.0	43.0	9.0	9.0	5.0	5.1	4.0	6.0	5.0	23.0	16.0	9.0	10.0			6.0	6.0		9.0		4.0		8.0	10.0	13.0	9.0	5.0	5.0	5.0	7.0	14.0	8.0		7.0		10.0	6.0	10.0		4.0	5.0	7.0	10.0	6.0	5.0		6.0	10.0	10.0	8.0	12.0	16.0		4.0		8.0			11.0	7.0	13.0		4.0		8.0	5.0	9.0		9.0	5.0	8.0	8.0	3.9	6.8	7.9	15.0	9.1	10.0	23.0	12.0	9.0	10.0		4.0	3.0	3.0	5.0	7.0	20.0	14.0	10.0	16.0			4.0	10.2	7.0	6.0			6.0	12.0	8.0	18.0	14.0	16.0	18.0	12.0	20.0	7.0	35.0		14.0	12.0	6.0	12.0	10.0	7.0	5.0	14.0	6.0	8.0	12.0
10	11	2015	16	23	8.0	8.0	18.0	13.0	11.0	49.0	12.0	7.0	5.0	9.7	3.0	5.0	8.0	20.0	13.0	9.0	12.0			4.0	6.0		8.0		4.0		15.0	14.0	10.0	12.0	5.0	5.0	5.0	8.0	17.0	9.0		8.0		14.0	6.0	21.0		5.0	4.0	10.0	9.0	4.0	5.0		5.0	13.0	13.0	9.0	8.0	9.0		7.0		5.0			7.0	6.0	9.0		6.0		7.0	5.0	11.0		6.0	4.0	11.0	5.0	5.1	7.2	9.7	9.1	10.8	10.0	17.0	12.0	8.0	9.0		17.0	3.0	4.0	5.0	6.0	23.0	12.0	22.0	10.0			11.0	8.0	5.0	7.0			4.0	7.0	9.0	10.0	18.0	9.0	22.0	5.0	12.0	9.0	23.0		11.0	31.0	10.0	15.0	7.0	5.0	26.0	8.0	8.0	6.0	7.0
10	11	2015	17	23	13.0	8.0	13.0	8.0	6.0	45.0	16.0	9.0	5.0	9.1	15.0	8.0	9.0	27.0	8.0	11.0	13.0			3.0	10.0		6.0		23.0		25.0	20.0	7.0	15.0	6.0	5.0	6.0	7.0	22.0	8.0		5.0		8.0	10.0	32.0		3.0	3.0	14.0	6.0	4.0	4.0		3.0	17.0	12.0	8.0	15.0	6.0		18.0		9.0			4.0	4.0	7.0		15.0		8.0	22.0	11.0		10.0	2.0	11.0	15.0	3.1	8.9	10.5	12.4	7.7	10.0	9.0	13.0	6.0	9.0		10.0	3.0	5.0	3.0	4.0	21.0	13.0	26.0	8.0			6.0	19.8	6.0	12.0			9.0	9.0	19.0	8.0	34.0	15.0	22.0	20.0	13.0	19.0	31.0		14.0	41.0	15.0	19.0	4.0	5.0	24.0	16.0	7.0	8.0	12.0
10	11	2015	18	24	26.0	8.0	15.0	8.0	15.0	38.0	22.0	11.0	7.0	9.8	10.0	11.0	16.0	17.0	5.0	15.0	8.0			9.0	14.0		3.0		12.0		15.0	19.0	11.0	11.0	6.0	5.0	7.0	9.0	12.0	10.0		6.0		6.0	8.0	20.0		7.0	7.0	15.0	5.0	11.0	2.0		4.0	11.0	14.0	13.0	10.0	4.0		12.0		23.0			3.0	6.0	6.0		10.0		8.0	12.0	9.0		8.0	5.0	10.0	10.0	8.3	8.6	10.8	23.7	8.0	9.0	6.0	13.0	5.0	10.0		7.0	3.0	4.0	25.0	4.0	21.0	24.0	16.0	9.0			11.0	24.3	20.0	17.0			15.0	17.0	26.0	13.0	35.0	25.0	28.0	22.0	20.0	21.0	31.0		38.0	23.0	26.0	24.0	4.0	16.0	25.0	10.0	6.0	24.0	24.0
10	11	2015	19	23	15.0	9.0	20.0	10.0	23.0	28.0	15.0	16.0	8.0	5.4	7.0	8.0	24.0	12.0	4.0	20.0	10.0			10.0	16.0		1.0		7.0		13.0	19.0	26.0	12.0	6.0	6.0	7.0	8.0	7.0	10.0		5.0		4.0	6.0	13.0		12.0	9.0	11.0	7.0	6.0	1.0		7.0	13.0	10.0	13.0	13.0	3.0		15.0		17.0			3.0	10.0	5.0		11.0		9.0	7.0	9.0		10.0	11.0	9.0	14.0	5.8	8.4	9.5	14.6	8.6	10.0	13.0	12.0	4.0	6.0		4.0	4.0	4.0	14.0	8.0	29.0	15.0	29.0	6.0			8.0	27.9	31.0	22.0			16.0	13.0	38.0	31.0	32.0	34.0	28.0	33.0	20.0	27.0	27.0		58.0	56.0	40.0	27.0	11.0	17.0	9.0	6.0	8.0	20.0	38.0
