d	m	y	h	i	Praha 8-Karlín	Praha 2-Legerova (hot spot)	Praha 1-n. Republiky	Praha 2-Riegrovy sady	Praha 5-Smíchov	Praha 10-Vršovice	Praha 9-Vysočany	Praha 4-Braník	Praha 8-Kobylisy	Praha 4-Libuš	Praha 5-Stodůlky	Praha 6-Suchdol	Praha 6-Břevnov	Praha 10-Průmyslová	Beroun	Kladno-střed města	Kladno-Švermov	Mladá Boleslav	Ondřejov	Příbram	Rožďalovice-Ruská	Tobolka-Čertovy schody	České Budějovice	Churáňov	Hojná Voda	Kocelovice	Prachatice	Tábor	Kamenný Újezd	Plzeň-Slovany	Plzeň-Bory	Plzeň-střed	Plzeň-Lochotín	Plzeň-Skvrňany	Plzeň-Doubravka	Plzeň - mobil 20.03.2013 Plzeň - Litice	Přimda	Cheb	Přebuz	Sokolov	Chomutov	Děčín	Doksany	Krupka	Lom	Litoměřice	Měděnec	Most	Rudolice v Horách	Sněžník	Teplice 	Tušimice	Ústí n.L.-Všebořická (hot spot)	Ústí n.L.-Kočkov	Ústí n.L.-město	Česká Lípa	Frýdlant	Liberec Rochlice	Souš	Hradec Králové-Brněnská	Hradec Králové-observatoř	Krkonoše-Rýchory	Polom	Trutnov - Tkalcovská	Moravská Třebová - Piaristická.	Pardubice-Rosice	Pardubice Dukla	Svratouch	Havl.Brod-Smetan.nám.	Jihlava	Jihlava-Znojemská	Kostelní Myslová	Košetice	Třebíč	Ždár nad Sázavou	Brno - Dětská nemocnice	Brno-Arboretum	Brno-Lány	Brno-Svatoplukova	Brno-Výstaviště	Brno-Zvonařka	Brno-Masná	Brno-Líšeň	Brno-Úvoz (hot spot)	Brno-Tuřany	Hodonín	Kuchařovice	Mikulov-Sedlec	Sivice	Mokrá	Znojmo	Jeseník-lázně	Olomouc-Hejčín	Olomouc-Šmeralova	Přerov	Prostějov	Otrokovice-město	Štítná n.Vláří	Těšnovice	Uherské Hradiště	Valašské Meziříčí	Zlín	Bílý Kříž	Červená hora	Český Těšín	Frýdek-Místek	Havířov	Horní Lomná	Karviná-ZÚ	Karviná	Ostrava-Českobratrská (hot spot)	Odry	Ostrava-Fifejdy	Ostrava-Mariánské Hory	Ostrava-Poruba, DD	Ostrava-Poruba/ČHMÚ	Ostrava-Přívoz	Ostrava-Radvanice ZÚ	Ostrava Radvanice OZO	Orlová	Opava-Kateřinky	Ostrava-Zábřeh	Rýmařov	Studénka	Třinec-Kanada	Třinec-Kosmos	Věřňovice
9	11	2015	15	26	20.0	16.0	10.0	9.0	19.0	29.0	16.0	5.0	13.0	8.6	7.0	8.0	9.0	19.0	13.0	12.0	5.0	5.0		14.0	14.0		12.0		4.0		4.0	37.0	17.0	10.0	9.0	9.0	9.0	9.0	32.0	12.0		12.0		4.0	12.0	41.0		8.0	33.0	38.0	2.0	10.0	5.0		26.0	12.0	22.0	31.0	67.0	28.0		7.0		23.0			12.0	16.0	39.0		45.0		10.0	6.0	13.0		14.0	7.0	9.0	45.0	62.0	60.0	60.0	54.4	79.5	56.0	21.0	68.0	33.0	24.0		5.0	22.0	26.0	17.0	6.0	44.0	34.0	43.0	50.0			19.0	13.1	42.0	16.0			15.0	25.0	14.0	10.0	27.0	26.0	30.0	17.0	23.0	26.0	37.0		27.0	50.0	26.0	45.0	10.0	21.0	57.0	15.0	20.0	10.0	21.0
9	11	2015	17	26	18.0	14.0	20.0	19.0	29.0	58.0	25.0	7.0	13.0	7.2	12.0	10.0	9.0	23.0	13.0	11.0	14.0	14.0		11.0	18.0		5.0		32.0		13.0	23.0	13.0	19.0	8.0	9.0	9.0	7.0	9.0	10.0		7.0		5.0	7.0	39.0		4.0	15.0	59.0	5.0	10.0	1.0		7.0	6.0	20.0	11.0	22.0	29.0		7.0		20.0			7.0	32.0	29.0		24.0		14.0	8.0	11.0		13.0	7.0	11.0	66.0	64.4	58.6	72.9	68.8	77.9	52.0	30.0	62.0	28.0	29.0		15.0	13.0	23.0	12.0	4.0	43.0	37.0	27.0	57.0			19.0	27.1	37.0	33.0			20.0	19.0	29.0	13.0	32.0	14.0	29.0	16.0	16.0	26.0	20.0		39.0	62.0	30.0	60.0	4.0	32.0	11.0	31.0	13.0	8.0	27.0
9	11	2015	18	24	24.0	13.0	22.0	19.0	38.0	58.0	26.0	14.0	7.0	9.9	24.0	11.0	11.0	29.0	16.0	7.0	17.0	9.0		6.0	10.0		16.0		17.0		16.0	30.0	20.0	20.0	7.0	10.0	9.0	7.0	8.0	9.0		5.0		12.0	5.0	26.0		6.0	8.0	37.0	8.0	6.0	1.0		4.0	8.0	20.0	7.0	26.0	24.0		7.0		31.0			4.0	33.0	47.0		13.0		16.0	9.0	11.0		11.0	8.0	11.0	58.0	75.9	57.1	74.9	84.9	79.6	53.0	27.0	58.0	23.0	85.0		14.0	11.0	27.0	7.0	8.0	50.0	40.0	22.0	65.0			19.0	25.3	47.0	39.0			17.0	17.0	23.0	15.0	31.0	17.0	26.0	29.0	28.0	26.0	26.0		43.0	70.0	35.0	58.0	16.0	22.0	28.0	25.0	15.0	14.0	16.0
9	11	2015	19	25	14.0	11.0	21.0	13.0	31.0	46.0	19.0	10.0	10.0	14.5	18.0	8.0	24.0	24.0	11.0	6.0	19.0	11.0		15.0	12.0		12.0		15.0		14.0	40.0	14.0	21.0	7.0	9.0	9.0	8.0	11.0	10.0		4.0		12.0	5.0	34.0		6.0	9.0	26.0		7.0	1.0		2.0	10.0	12.0	5.0	13.0	22.0		12.0		27.0			15.0	31.0	39.0		9.0		15.0	9.0	11.0		11.0	21.0	14.0	73.0	74.7	53.6	87.1	84.2	78.7	62.0	36.0	60.0	30.0	80.0		10.0	14.0		18.0	11.0	46.0	51.0	27.0	62.0			27.0	30.8	63.0	38.0			20.0	18.0	23.0	30.0	32.0	23.0	26.0	22.0	32.0	28.0	35.0		26.0	69.0	29.0	57.0	25.0	21.0	61.0	36.0	8.0	29.0	20.0
9	11	2015	20	25	26.0	10.0	20.0	10.0	31.0	43.0	25.0	20.0	13.0	12.5	19.0	8.0	15.0	27.0	10.0	6.0	20.0	13.0		15.0	19.0		8.0		8.0		14.0	39.0	11.0	19.0	8.0	9.0	9.0	9.0	16.0	10.0		9.0		12.0	4.0	50.0		7.0	5.0	18.0		9.0	2.0		11.0	8.0	9.0	14.0	7.0	20.0		13.0		17.0			24.0	33.0	30.0		9.0		15.0	6.0	11.0		9.0	15.0	12.0	75.0	68.0	47.7	85.4	80.3	84.8	67.0	26.0	57.0	30.0	55.0		6.0	10.0	18.0	20.0	7.0	48.0	52.0	33.0	51.0			15.0	31.2	60.0	29.0			20.0	15.0	32.0	46.0	36.0	28.0	24.0	27.0	26.0	26.0	39.0		33.0	54.0	27.0	45.0	14.0	23.0	52.0	32.0	8.0	43.0	33.0
9	11	2015	21	49	20.0	10.0	15.0	11.0	31.0	35.0	18.0	18.0	8.0	15.6	12.0	9.0	16.0	27.0	12.0	6.0	12.0	12.0		12.0	17.0		5.0		11.0		19.0	38.0	9.0	15.0	7.0	13.0	8.0	9.0	9.0	9.0		7.0		7.0	9.0	42.0		6.0	13.0	10.0		8.0	3.0		11.0	9.0	8.0	22.0	4.0	18.0		13.0		23.0			15.0	45.0	41.0		10.0		11.0	18.0	10.0		10.0	10.0	12.0	79.0	75.9	42.1	82.7	75.1	89.1	70.0	23.0	51.0	36.0	17.0		4.0	10.0	16.0	21.0	5.0	62.0	58.0	40.0	62.0	52.4		9.0	38.1	72.0	37.0			11.0	19.0	30.0	38.0	34.0	27.0	24.0	20.0	28.0	27.0	23.0		18.0	60.0	28.0	32.0	19.0	25.0	23.0	29.0	9.0	52.0	38.0
9	11	2015	22	24	13.0	8.0	20.0	16.0	19.0	34.0	23.0	10.0	7.0	11.0	17.0	11.0	11.0	15.0	19.0	6.0	7.0	8.0		10.0	12.0		8.0		11.0		11.0	35.0	27.0	15.0	8.0	8.0	8.0	7.0	12.0	10.0		4.0		7.0	17.0	26.0		4.0	11.0	7.0	9.0	5.0	4.0		6.0	12.0	8.0	12.0	4.0	14.0		11.0		20.0			9.0	35.0	22.0		12.0		10.0	11.0	10.0		8.0	7.0	10.0	75.0	79.6	44.7	84.2	78.6	81.3	67.0	18.0	51.0	20.0	23.0		23.0	9.0	15.0	13.0	7.0	69.0	59.0	60.0	64.0			10.0	31.8	79.0	43.0			7.0	17.0	35.0	22.0	30.0	21.0	25.0	37.0	31.0	26.0	26.0		23.0	49.0	24.0	30.0	25.0	20.0	35.0	30.0	8.0	41.0	34.0
9	11	2015	23	24	14.0	8.0	23.0	9.0	14.0	23.0	17.0	10.0	6.0	7.6	15.0	8.0	6.0	10.0	13.0	7.0	13.0	9.0		8.0	9.0		15.0		7.0		7.0	32.0	20.0	13.0	6.0	7.0	7.0	7.0	23.0	9.0		2.0		10.0	10.0	51.0		3.0	7.0	6.0		10.0	4.0		3.0	16.0	7.0	9.0	3.0	9.0		14.0		17.0			5.0	22.0	13.0		15.0		9.0	8.0	9.0		12.0	8.0	8.0	76.0	72.9	33.5	78.9	71.3	82.4	61.0	13.0	55.0	21.0	14.0		13.0	7.0	15.0	9.0	14.0	65.0	55.0	37.0	57.0			11.0	17.1	59.0	54.0			11.0	11.0	29.0	16.0	28.0	17.0	24.0	27.0	19.0	26.0	17.0		25.0	60.0	23.0	26.0	21.0	22.0	22.0	19.0	8.0	47.0	28.0
10	11	2015	0	23	11.0	8.0	13.0	7.0	17.0	23.0	9.0	9.0	8.0	10.9	19.0	9.0	13.0	23.0	14.0	6.0	23.0	17.0		10.0	8.0		11.0		4.0		5.0	28.0	11.0	9.0	6.0	6.0	6.0	5.0	13.0	8.0		7.0		6.0	5.0	33.0		3.0	5.0	5.0		16.0	7.0		9.0	18.0	8.0	11.0	18.0	5.0		10.0		10.0			7.0	23.0	9.0		8.0		10.0	19.0	9.0		14.0	13.0	9.0	61.0	57.2	19.0	73.5	61.4	74.2	56.0	13.0	43.0	24.0	12.0		7.0	11.0	18.0	5.0	8.0	63.0	52.0	43.0	70.0			23.0	24.5	55.0	45.0			23.0	13.0	23.0	16.0	32.0	29.0	23.0	7.0	19.0	24.0	18.0		28.0	45.0	20.0	26.0	17.0	23.0	14.0	13.0	7.0	43.0	17.0
10	11	2015	1	34	16.0	7.0	8.0	8.0	18.0	16.0	6.0	11.0	14.0	18.5	12.0	12.0	12.0	28.0	8.0	17.0	16.0	14.0		11.0	5.0		7.0		3.0		8.0	23.0	7.0	18.0	6.0	5.0	6.0	5.0	11.0	8.0		8.0		6.0	5.0	18.0		5.0	4.0	6.0	6.0	13.0	7.0		14.0	12.0	9.0	11.0	10.0	4.0		13.0		8.0			12.0	21.0	8.0		8.0		9.0	11.0	9.0		13.0	9.0	9.0	54.0	49.9	10.8	50.5	53.9	21.9	24.0	21.0	9.0	13.0	11.0		5.0	8.0	12.0	20.0	5.0	65.0	52.0	42.0	63.0			12.0	31.0	56.0	53.0			22.0	17.0	19.0	15.0	31.0	37.0	21.0	13.0	19.0	21.0	10.0		16.0	44.0	18.0	30.0	16.0	16.0	10.0	12.0	8.0	47.0	22.0
